<number> social distancing,16.0395934086809,k
social distancing <url>,15.848183946592,k
coronavirus social distancing,15.5819395006858,k
practice social distancing,15.5188135867615,k
social distancing measures,15.299242215263,k
social distancing rules,15.0557385450497,k
social distancing guidelines,15.0485571856411,k
maintain social distancing,14.9373164092246,k
social distancing corona,14.9266980104503,k
practicing social distancing,14.7958865469713,k
distancing corona lockdown,14.7557014907516,k
social distancing coronavirus,14.6587439047457,k
social distancing stay,14.5980785566438,k
social distancing covid,14.5157975970485,k
home social distancing,14.2827068471195,k
safe social distancing,14.2679673060829,k
<url> social distancing,14.0611240828377,k
follow social distancing,13.9520386770095,k
quarantine social distancing,13.9380710405513,k
maintaining social distancing,13.880755016088,k
maintain social distance,13.8207065375256,k
<user> social distancing,13.7764316474501,k
social distancing rule,13.7637548634011,k
social distancing flatten,13.7247308086501,k
keep social distancing,13.694856909099,k
enforce social distancing,13.6504633867042,k
observe social distancing,13.5321034619527,k
social distancing works,13.4785945256455,k
following social distancing,13.4714997814482,k
social distancing restrictions,13.4218726704829,k
social distancing quarantine,13.3934131515745,k
social distancing social,13.3907151349061,k
ignoring social distancing,13.3162211368838,k
strict social distancing,13.3072412289888,k
lockdown social distancing,13.3038791749709,k
without social distancing,13.2856118870655,k
social distancing advice,13.2735349665045,k
social distance <url>,13.2489345605547,k
<repeated> social distancing,13.2357278772765,k
<number> physical distancing,13.233020294395,k
keep social distance,13.18417364422,k
social distancing norms,13.1703177130366,k
africa social distancing,13.1652531899723,k
social distancing <user>,13.1557790513309,k
daily social distancing,13.1225253669744,k
social distancing show,13.1041902467686,k
pandemic social distancing,13.0552073115142,k
social distancing lockdown,13.0270132995199,k
covid19 social distancing,13.0147226420098,k
practice physical distancing,13.0071051697124,k
social distancing may,12.9954257889805,k
social distancing could,12.9613266088457,k
distancing social distancing,12.9217144760796,k
social distancing <number>,12.9155263375209,k
virus social distancing,12.8973611026716,k
maintaining social distance,12.889109707077,k
<number> social distance,12.8756350084936,k
ignore social distancing,12.8649188806168,k
social distancing orders,12.8550762814726,k
isolation social distancing,12.8451358417673,k
distancing show <url>,12.8421343387636,k
ensure social distancing,12.8303754261842,k
social distancing amid,12.81881853345,k
observing social distancing,12.7959959661063,k
breaking social distancing,12.7896801556382,k
social distancing self,12.7875659899459,k
metre social distancing,12.7808414910619,k
like social distancing,12.7783526008883,k
social distancing requirements,12.7593044059176,k
trump biden testing,12.7545762647216,d
biden testing vaccine,12.7542116339063,d
encourage social distancing,12.7509239597121,k
social distancing wash,12.7468909569954,k
proper social distancing,12.7060230393046,k
physical distancing <url>,12.7052573424831,k
pandemic quarantine social,12.6851406099438,d
social distancing protocols,12.6745335570481,k
promote social distancing,12.6622147046616,k
curve trump biden,12.6610144644695,d
corona social distancing,12.6460918241751,k
social distancing policies,12.6452788160002,k
continue social distancing,12.6416120773228,k
end social distancing,12.639569175693,k
physical distancing measures,12.6342380168701,k
social distancing bat,12.630117697897,k
says social distancing,12.6292915929347,k
distancing bat flu,12.6284648049587,d
social distancing practices,12.6184896599019,k
hands social distancing,12.6037618531917,k
social distancing seriously,12.5952475403682,k
new social distancing,12.594819915816,k
social distancing due,12.5879529360418,k
violating social distancing,12.5814720319578,k
social distancing covid19,12.5644224386317,k
distancing coronavirus covid,12.5479739682165,k
distancing quarantine life,12.5398731138351,k
flu wuhan med,12.5239310772769,d
social distancing means,12.4884133252209,k
testing vaccine mask,12.487937474629,d
vaccine mask pandemic,12.4865085627403,d
curve social distancing,12.4735556351796,k
extends social distancing,12.4682300355676,k
take social distancing,12.4657999007143,k
practise social distancing,12.4205072626984,k
rebuffed social distancing,12.4040797885565,k
life social distancing,12.3962855168297,k
coronavirus social distance,12.3952416753988,k
enforcing social distancing,12.3900060613448,k
trump rebuffed social,12.3868514845963,d
maintain physical distancing,12.3868514845963,k
report trump rebuffed,12.3687851058619,d
times report trump,12.3634087488255,d
social distancing guidance,12.3159384679438,k
distancing corona virus,12.3142411549479,d
respect social distancing,12.2820174232807,k
practising social distancing,12.2583476791948,k
implement social distancing,12.2517390639745,k
lives social distancing,12.2499291087292,k
defied social distancing,12.2475107278649,k
mask social distancing,12.2408298648741,k
social distance coronavirus,12.2291840084594,k
address social distancing,12.2192706682907,k
<number> fauci confirms,12.2167769014123,d
social distance stay,12.2111430836941,k
wuhan quarantine social,12.2023157880397,d
social distancing etc,12.1997793250437,k
safe social distance,12.1940486503348,k
vaccine pandemic <url>,12.1811950029314,d
testing vaccine pandemic,12.1792526261472,d
despite social distancing,12.1779556091041,k
fauci confirms new,12.1720981240845,d
relax social distancing,12.1655493122056,k
social distancing efforts,12.1602792077814,k
ease social distancing,12.152987163537,k
support social distancing,12.1469811394768,k
taking social distancing,12.1335038465333,k
zero social distancing,12.1010983912608,k
extreme social distancing,12.1010983912608,k
social distancing regulations,12.0961809243793,k
social distancing recommendations,12.0632502465663,k
social distance covid,12.0448876299918,k
practiced social distancing,12.0374471194752,k
stop social distancing,12.026181510281,k
break social distancing,12.0208804755273,k
use social distancing,12.0086572522965,k
say social distancing,12.006348671048,k
defy social distancing,12.0048066506962,k
flouting social distancing,11.9916025753629,k
social distancing violations,11.9678672839096,k
podcasts memes covid19,11.9557849782493,d